Municipality,Description,Amount,Year,Coordinates,Latitude,Longitude
Avon ,Small-Scale Payment ,500,2016.0,"(42.13065539999999, -71.0411582)",42.13065539999999,-71.0411582
Ayer ,RDP Payment ,2400,2016.0,"(42.5611947, -71.58990539999999)",42.5611947,-71.58990539999999
Barnstable ,RDP Payment ,9000,2016.0,"(41.7003208, -70.3002024)",41.7003208,-70.3002024
Barre ,RDP Payment ,2000,2016.0,"(42.422359, -72.104837)",42.422359,-72.104837
Bedford ,RDP Payment ,2400,2016.0,"(42.4906231, -71.2760089)",42.4906231,-71.2760089
Belchertown ,RDP Payment ,2000,2016.0,"(42.2800443, -72.40348469999999)",42.2800443,-72.40348469999999
Belmont ,Small-Scale Payment ,1250,2016.0,"(42.3956405, -71.1776114)",42.3956405,-71.1776114
Bernardston ,RDP Payment ,2000,2016.0,"(42.6710048, -72.5483277)",42.6710048,-72.5483277
Beverly ,Small-Scale Payment ,1500,2016.0,"(42.5584283, -70.880049)",42.5584283,-70.880049
Billerica ,Small-Scale Payment ,1500,2016.0,"(42.5584218, -71.2689461)",42.5584218,-71.2689461
Bolton ,RDP Payment ,2000,2016.0,"(42.43342579999999, -71.6078449)",42.43342579999999,-71.6078449
Boston ,Small-Scale Payment ,2000,2016.0,"(42.3600825, -71.0588801)",42.3600825,-71.0588801
Bourne ,Small-Scale Payment ,1500,2016.0,"(41.74127730000001, -70.5989325)",41.74127730000001,-70.5989325
Boxford ,RDP Payment ,4800,2016.0,"(42.6599138, -70.9971338)",42.6599138,-70.9971338
Braintree ,RDP Payment ,12000,2016.0,"(42.2079017, -71.0040013)",42.2079017,-71.0040013
Brewster ,RDP Payment ,5200,2016.0,"(41.7609271, -70.0829663)",41.7609271,-70.0829663
Brockton ,RDP Payment ,38500,2016.0,"(42.0834335, -71.0183787)",42.0834335,-71.0183787
Brookfield ,RDP Payment ,2200,2016.0,"(42.2139817, -72.1022991)",42.2139817,-72.1022991
Brookline ,RDP Payment ,17500,2016.0,"(42.33176419999999, -71.1211635)",42.33176419999999,-71.1211635
Buckland ,RDP Payment ,1600,2016.0,"(42.592307, -72.79176009999999)",42.592307,-72.79176009999999
